Montana,449 (53.3),"1,701 (187)","1,470 (160.2)",70 (8.3),782.5 (86),965 (105.2),519 (61.6),2483.50,273)
Nebraska,196 (12.9),847 (52.6),901 (55.7),525 (34.6),602.5 (37.4),645 (39.9),721 (47.6),1449.50,90)
Nevada,"1,050 (46.5)","2,874 (111.6)","3,128 (119.3)","1,181 (52.3)","1,917.5 (74.4)","2,101 (80.1)","2,231 (98.9)",4791.50,186)
New Hampshire,"1,447 (127.4)","5,903 (494.6)","6,099 (508.9)","1,929 (169.8)","3,256 (272.8)","3,043 (253.9)","3,376 (297.2)",9159.00,767.4)
New Jersey,"9,128 (122.5)","17,156 (224.7)","17,075 (224.1)","10,300 (138.2)","15,154 (198.5)","15,912 (208.9)","19,428 (260.7)",32310.00,423.2)
New Mexico,817 (47.7),"4,600 (258.5)","4,865 (272.2)","1,844 (107.6)","5,386 (302.6)","5,294 (296.2)","2,661 (155.3)",9986.00,561.1)
New York,"11,969 (72.2)","33,571 (199.4)","36,574 (218)","43,346 (261.4)","38,662.5 (229.6)","40,729 (242.8)","55,315 (333.6)",72233.50,429)
North Carolina,"3,715 (46.4)","20,390 (229.7)","22,274 (247.9)","10,876 (135.8)","16,966 (191.1)","17,139 (190.7)","14,591 (182.2)",37356.00,420.8)
North Dakota,110 (19.2),431 (67.8),502 (78.8),0 (0),455 (71.6),728 (114.2),110 (19.2),886.00,139.4)
Ohio,"6,890 (70.6)","36,447 (364.7)","37,579 (375.8)","5,256 (53.9)","9,998 (100.1)","10,554 (105.5)","12,146 (124.5)",46445.00,464.8)
Oklahoma,"1,622 (51.9)","5,584 (168.9)","6,308 (189.7)","2,575 (82.4)","4,035.5 (122.1)","4,720 (141.9)","4,197 (134.3)",9619.50,291)
Oregon,"1,661 (51)","6,467 (179)","7,800 (213.8)","3,404 (104.5)","5,572 (154.2)","5,816 (159.4)","5,065 (155.4)",12039.00,333.2)
Pennsylvania,"13,244 (121.4)","41,807 (377.4)","46,031 (415.4)","17,298 (158.6)","24,695.5 (222.9)","26,166 (236.1)","30,542 (280.1)",66502.50,600.3)
Rhode Island,"1,765 (194)","4,845 (523.7)","4,771 (514.4)","2,560 (281.4)","4,477 (484)","4,519 (487.2)","4,325 (475.5)",9322.00,1007.7)
South Carolina,"1,673 (42.8)","7,376 (169.4)","8,173 (184.9)","4,082 (104.5)","6,222 (142.9)","6,513 (147.4)","5,755 (147.3)",13598.00,312.2)
South Dakota,23 (3.4),221 (30.1),358 (48.5),0 (0),142 (19.3),130 (17.6),23 (3.4),363.00,49.4)
Tennessee,"5,874 (109.7)","24,240 (419.6)","23,730 (406.6)","4,586 (85.6)","5,638 (97.6)","6,089 (104.3)","10,460 (195.3)",29878.00,517.2)
Texas,"7,080 (34.5)","17,503 (73.6)","18,458 (76.6)","9,197 (44.8)","12,977 (54.6)","14,253 (59.1)","16,277 (79.3)",30480.00,128.1)
Utah,"2,373 (110.1)","6,084 (239.4)","6,499 (250.7)","2,305 (106.9)","2,872 (113)","2,959 (114.1)","4,678 (217)",8956.00,352.5)
Vermont,"1,641 (301.5)","3,553 (643.8)","3,907 (709.1)",864 (158.7),"3,398 (615.7)","3,490 (633.5)","2,505 (460.3)",6951.00,1259.4)
Virginia,"3,250 (48)","12,416 (170.5)","13,125 (179.6)","4,581 (67.6)","8,090.5 (111.1)","8,855 (121.2)","7,831 (115.6)",20506.50,281.7)
Washington,"3,417 (60.2)","14,431 (224.9)","16,871 (259.5)","5,830 (102.7)","12,987 (202.4)","14,179 (218.1)","9,247 (162.8)",27418.00,427.3)
West Virginia,"2,307 (144.3)","10,768 (686.9)","11,199 (718.9)","5,043 (315.3)","4,891.5 (312)","4,377 (281)","7,350 (459.6)",15659.50,998.9)
Wisconsin,"2,746 (57.1)","6,867 (137.8)","7,589 (151.8)","3,165 (65.8)","5,036 (101.1)","5,719 (114.4)","5,911 (122.9)",11903.00,238.9)
Wyoming,194 (41.1),726 (148.8),760 (154.9),0 (0),0 (0),0 (0),194 (41.1),726.00,148.8)
US Average,"167,556 (64.5)","544,303 (195.2)","581,218 (207.4)","294,491 (113.3)","426,528 (153.0)","442,741 (158.0)","462,047 (177.8)",970831.00,348.2)
